Product,Small Size Price,Large Size Price
pumpkin spice latte,6,
ube latte,6,
spiced pear latte,6,
dirty cider,6.50,
monster mocha,6.50.,
small drip coffee,35,
large drip coffee,4.25,
espresso,4,
americano,4,
macchiato,4.50,
cortado,4.75,
cappuccino,5,
latte,5.25,
mocha,5.75,
golden milk,5.75,
golden eye,6.75,
flash brew,4.25,
nitro cold brew,6,
+extra shot,2,
vanilla,1,
chocolate,1,
lavender,1,
sugar-free vanilla syrup,1,
Califia almond milk +,1,
Califia oat milk +,1,
vita coco coconut milk +,1,
fronk's locally made nut milk +,5,
dark brew pu'er,4.50,
super green,4.50,
earl grey,450,
maqui berry green,4.50,
breakfast black,4.50,
turmeric spice,4.50,
yoshi-cha,5.25,
earl grey,450,
maqui berry green,4.50,
tealatte,4.75,
chaitealatte,5.25,
matcha latte,6.25,
london fog,6,
house kombucha,5.25,
hot chocolate,3.50/4,
